coach_id,comp_persoonlijk leiderschap,comp_stress,comp_zelfonderzoek,comp_loopbaan,comp_communicatie,comp_leiderschap,comp_balans werk/prive,comp_zelfvertrouwen,comp_samenwerken,comp_loslaten,comp_emotieregulatie,comp_assertiviteit
C0021,0.2138,0.4724,0.182,0.1961,0.1298,0.2411,0.1801,0.2033,0.1396,0.2063,0.2226,0.2965
C0022,0.1686,0.5947,0.3101,0.5559,0.279,0.1771,0.3173,0.1977,0.6116,0.1952,0.1985,0.1947
C0023,0.1011,0.2206,0.2448,0.1214,0.1242,0.1043,0.0406,0.0843,0.0566,0.1871,0.1237,0.158
C0024,0.2074,0.2807,0.2487,0.4237,0.2404,0.3363,0.7644,0.37,0.1559,0.2834,0.2928,0.7065
C0025,0.1711,0.3868,0.5468,0.2573,0.3605,0.6046,0.2609,0.1986,0.29,0.3646,0.2206,0.2683
C0026,0.2667,0.1995,0.1315,0.1651,0.1673,0.1007,0.187,0.1138,0.0516,0.1764,0.2042,0.201
C0027,0.0971,0.3074,0.1242,0.1034,0.0861,0.3254,0.2245,0.0514,0.0776,0.1351,0.1797,0.1035
C0028,0.2466,0.4758,0.2365,0.3571,0.2121,0.2229,0.38,0.735,0.1626,0.3653,0.2443,0.2881
C0029,0.3243,0.2492,0.2312,0.2661,0.1984,0.5823,0.2133,0.1914,0.1815,0.1856,0.2063,0.201
C0030,0.2978,0.3421,0.2192,0.6724,0.3267,0.1953,0.2705,0.3134,0.2875,0.189,0.3054,0.2251
C0031,0.3135,0.0865,0.2498,0.0247,0.1852,0.102,0.0766,0.0679,0.0501,0.0916,0.0815,0.0757
C0032,0.1988,0.6018,0.2389,0.303,0.2994,0.2994,0.1594,0.7354,0.2201,0.2432,0.308,0.1743
C0033,0.2507,0.213,0.0485,0.1183,0.1352,0.085,0.1487,0.1581,0.1369,0.0714,0.0548,0.0801
C0034,0.3186,0.3496,0.2406,0.6993,0.8531,0.3268,0.2927,0.3004,0.3365,0.3275,0.3451,0.3117
C0035,0.2707,0.2808,0.2758,0.7568,0.3519,0.2929,0.2367,0.2259,0.2646,0.2821,0.2334,0.2508
C0036,0.2269,0.3497,0.2395,0.2065,0.3216,0.3804,0.5764,0.1876,0.3226,0.3889,0.2673,0.1952
C0037,0.1961,0.2539,0.3527,0.2943,0.2913,0.2096,0.2013,0.6155,0.2801,0.3057,0.2127,0.2593
C0038,0.0847,0.0786,0.02,0.0498,0.107,0.1521,0.0555,0.0792,0.02,0.02,0.1491,0.1011
C0039,0.2408,0.1046,0.0987,0.2504,0.0753,0.1717,0.0411,0.048,0.02,0.029,0.1272,0.0396
C0040,0.2714,0.6094,0.6862,0.1818,0.3061,0.2319,0.225,0.2306,0.176,0.2608,0.2382,0.2327
C0041,0.344,0.424,0.3616,0.2485,0.3481,0.2452,0.4141,0.2407,0.8371,0.2803,0.3305,0.3239
C0042,0.1488,0.0505,0.02,0.0415,0.1769,0.2224,0.081,0.1045,0.0702,0.1595,0.072,0.1058
C0043,0.1911,0.2631,0.2102,0.2486,0.5586,0.2595,0.2417,0.2929,0.1938,0.2108,0.2833,0.311
C0044,0.1372,0.02,0.1045,0.0302,0.163,0.2533,0.1296,0.1449,0.02,0.0887,0.05,0.0776
C0045,0.7126,0.2384,0.2299,0.236,0.2483,0.2068,0.2325,0.3148,0.2667,0.3198,0.236,0.635
C0046,0.4337,0.4392,0.4618,0.4434,0.8995,0.36,0.3154,0.4278,0.3831,0.3188,0.4709,0.4495
C0047,0.2592,0.3095,0.5552,0.1982,0.2134,0.1865,0.5118,0.2505,0.1736,0.1536,0.2165,0.1901
C0048,0.3137,0.2216,0.2006,0.2209,0.5787,0.1957,0.2234,0.4966,0.1942,0.1676,0.1998,0.1934
C0049,0.145,0.303,0.2203,0.2303,0.2587,0.2659,0.1866,0.2701,0.642,0.2053,0.2147,0.279
C0050,0.0827,0.195,0.12,0.241,0.0228,0.0492,0.0365,0.2738,0.0598,0.0519,0.02,0.043
C0051,0.2485,0.2236,0.3135,0.18,0.2393,0.6798,0.248,0.208,0.2009,0.3075,0.3111,0.2939
C0052,0.1828,0.5104,0.2432,0.4897,0.2053,0.2515,0.2114,0.1835,0.2317,0.1767,0.2043,0.23
C0053,0.2125,0.6641,0.3236,0.2472,0.3802,0.3591,0.2778,0.2584,0.2663,0.2759,0.2446,0.314
C0054,0.2287,0.2089,0.5085,0.2124,0.1739,0.1795,0.5377,0.2068,0.4997,0.2,0.146,0.1971
C0055,0.2783,0.2657,0.1551,0.1884,0.3057,0.5709,0.2287,0.6411,0.1492,0.1986,0.2122,0.1781
C0056,0.567,0.2436,0.238,0.1943,0.1931,0.28,0.2493,0.1461,0.2026,0.2659,0.1809,0.141
C0057,0.1403,0.1992,0.1209,0.1599,0.02,0.3903,0.138,0.108,0.1886,0.1278,0.0983,0.1567
C0058,0.3487,0.8374,0.8854,0.2953,0.3669,0.3543,0.2722,0.3335,0.2828,0.3145,0.3101,0.3158
C0059,0.6274,0.1756,0.232,0.1896,0.291,0.2286,0.2031,0.1913,0.2261,0.3147,0.3134,0.342
C0060,0.3439,0.5958,0.6895,0.5578,0.2655,0.2477,0.2255,0.2525,0.2595,0.2438,0.2251,0.321
C0061,0.3043,0.2615,0.2534,0.5596,0.2529,0.2147,0.6086,0.2205,0.2455,0.3232,0.2996,0.6862
C0062,0.2765,0.2143,0.2718,0.5727,0.5796,0.2521,0.2393,0.2217,0.1719,0.1659,0.3585,0.1713
C0063,0.5504,0.5314,0.1276,0.1989,0.1895,0.1762,0.2154,0.2254,0.3029,0.2606,0.2431,0.2591
C0064,0.2375,0.4449,0.2028,0.1764,0.1512,0.1966,0.1895,0.1339,0.2196,0.1558,0.0979,0.2393
C0065,0.1067,0.226,0.1594,0.2062,0.3575,0.1546,0.1409,0.1661,0.1848,0.101,0.2006,0.1039
C0066,0.0998,0.1574,0.5472,0.1417,0.4566,0.2444,0.2049,0.2013,0.2119,0.2207,0.1403,0.1921
C0067,0.2801,0.2291,0.2334,0.5637,0.1874,0.5524,0.1265,0.2333,0.2475,0.2397,0.1851,0.226
C0068,0.2486,0.1876,0.676,0.6102,0.1822,0.2493,0.2216,0.1929,0.3404,0.19,0.3008,0.3503
C0069,0.5489,0.2,0.2619,0.1866,0.1754,0.1461,0.2926,0.1671,0.1294,0.3378,0.2379,0.0919
C0070,0.1087,0.1818,0.1475,0.1273,0.02,0.1803,0.1282,0.4244,0.1246,0.1531,0.0511,0.069
C0071,0.0394,0.4341,0.1277,0.0424,0.1004,0.1312,0.2298,0.2625,0.1023,0.1195,0.0568,0.1602
C0072,0.2552,0.2128,0.2406,0.4356,0.4228,0.2338,0.2506,0.2687,0.5483,0.1709,0.19,0.2767
C0073,0.4327,0.4377,0.2244,0.2272,0.1507,0.1629,0.2967,0.1974,0.2251,0.154,0.1731,0.1915
C0074,0.3355,0.0937,0.1138,0.3019,0.1429,0.1695,0.1651,0.1827,0.0921,0.1506,0.2126,0.1554
C0075,0.2885,0.2152,0.8681,0.3432,0.2873,0.22,0.3126,0.3262,0.314,0.2111,0.3133,0.2834
C0076,0.3669,0.8752,0.3854,0.4265,0.4036,0.3384,0.3926,0.9584,0.3325,0.2852,0.2808,0.2964
C0077,0.5911,0.1383,0.2856,0.2021,0.5528,0.1705,0.3153,0.2468,0.2198,0.196,0.2407,0.3378
C0078,0.6291,0.2901,0.2077,0.3572,0.2547,0.2638,0.2584,0.1651,0.2838,0.1953,0.3191,0.2849
C0079,0.2898,0.2149,0.1898,0.2167,0.2731,0.2327,0.2319,0.3137,0.2702,0.3076,0.2849,0.7034
C0080,0.2159,0.255,0.2532,0.2087,0.6273,0.2042,0.2354,0.2313,0.2292,0.2946,0.2979,0.2679
C0081,0.6119,0.2343,0.2518,0.272,0.6106,0.3596,0.311,0.2384,0.2345,0.2553,0.3135,0.2344
C0082,0.5546,0.5063,0.0969,0.1897,0.1714,0.1755,0.1955,0.2935,0.1371,0.1367,0.1868,0.2087
C0083,0.1254,0.1018,0.1513,0.1612,0.3713,0.1372,0.1575,0.1728,0.0713,0.1681,0.152,0.1451
C0084,0.4192,0.3056,0.3213,0.1778,0.2134,0.2529,0.1912,0.0849,0.0533,0.1837,0.0987,0.051
C0085,0.7735,0.2899,0.3588,0.2724,0.3228,0.3673,0.3589,0.3612,0.2507,0.3608,0.3839,0.2933
C0086,0.2105,0.2039,0.569,0.2352,0.1332,0.2327,0.1798,0.2229,0.2064,0.2683,0.146,0.215
C0087,0.2872,0.292,0.5538,0.3023,0.6218,0.2311,0.2753,0.3218,0.2055,0.1312,0.3024,0.1159
C0088,0.2638,0.5845,0.257,0.2292,0.2986,0.3774,0.5919,0.2777,0.2385,0.3392,0.2428,0.2543
C0089,0.3212,0.3182,0.3834,0.9804,0.3458,0.3079,0.3481,0.4828,0.3505,0.3825,0.4212,0.3762
C0090,0.1121,0.4987,0.2171,0.1818,0.1921,0.556,0.1063,0.1743,0.2183,0.1229,0.1962,0.3404
C0091,0.3342,0.3383,0.3567,0.2962,0.7874,0.3338,0.2613,0.3479,0.3285,0.292,0.3462,0.2449
C0092,0.0571,0.0888,0.092,0.1679,0.1392,0.2595,0.209,0.48,0.1004,0.1604,0.0676,0.0712
C0093,0.276,0.6502,0.2082,0.1668,0.2624,0.1613,0.2272,0.339,0.2386,0.2303,0.3275,0.2114
C0094,0.2578,0.3064,0.0792,0.3683,0.1395,0.1198,0.1709,0.1702,0.0874,0.1614,0.02,0.0978
C0095,0.3024,0.7331,0.2832,0.2351,0.3253,0.2786,0.3696,0.743,0.2827,0.3091,0.3237,0.2194
C0096,0.3502,0.1156,0.1382,0.1837,0.0922,0.2015,0.1258,0.1916,0.1316,0.2301,0.1703,0.117
C0097,0.2434,0.1264,0.2048,0.3383,0.2698,0.2121,0.6437,0.2269,0.228,0.318,0.2276,0.3679
C0098,0.318,0.2598,0.7077,0.6656,0.3663,0.751,0.2276,0.2723,0.232,0.2543,0.2912,0.2888
C0099,0.1748,0.2136,0.4377,0.0829,0.4657,0.142,0.171,0.2326,0.2188,0.1956,0.2172,0.177
C0100,0.1562,0.2079,0.3374,0.2536,0.1356,0.1772,0.0944,0.2076,0.1338,0.1533,0.2037,0.2038
C0101,0.719,0.6266,0.2157,0.2384,0.2025,0.2502,0.5686,0.262,0.286,0.1768,0.2459,0.2032
C0102,0.3422,0.7671,0.2833,0.3081,0.251,0.264,0.2289,0.2564,0.3679,0.3832,0.2827,0.343
C0103,0.7432,0.3524,0.2814,0.2533,0.3141,0.3254,0.2966,0.8055,0.284,0.2936,0.3165,0.2905
C0104,0.3416,0.5871,0.2379,0.2644,0.2644,0.2234,0.2853,0.2794,0.2645,0.3012,0.2339,0.2607
C0105,0.4026,0.2411,0.3051,0.9176,0.2827,0.2979,0.346,0.3268,0.307,0.3207,0.2473,0.2774
C0106,0.2749,0.2838,0.3383,0.813,0.3289,0.4092,0.3847,0.3026,0.3322,0.2921,0.3706,0.3187
C0107,0.513,0.4681,0.0666,0.0994,0.1834,0.1949,0.2048,0.0979,0.1619,0.1545,0.1827,0.1873
C0108,0.1524,0.1325,0.1669,0.1391,0.0581,0.3466,0.1611,0.3287,0.2016,0.1653,0.3852,0.115
C0109,0.1654,0.2118,0.418,0.1125,0.1765,0.118,0.3128,0.0837,0.1233,0.1833,0.1121,0.2427
C0110,0.2685,0.3516,0.3276,0.2278,0.6991,0.3069,0.2489,0.7183,0.2097,0.3157,0.6702,0.3223
C0111,0.2038,0.652,0.1837,0.1769,0.1854,0.151,0.2473,0.2036,0.2257,0.1078,0.2833,0.6158
C0112,0.39,0.1808,0.0953,0.1569,0.094,0.144,0.1421,0.1512,0.1542,0.0863,0.1779,0.34
C0113,0.2113,0.646,0.289,0.278,0.204,0.3039,0.2308,0.1659,0.2683,0.2064,0.2867,0.3109
C0114,0.2468,0.0809,0.1733,0.0487,0.1687,0.3236,0.1322,0.0732,0.1899,0.1476,0.0902,0.1294
C0115,0.2756,0.324,0.8356,0.3166,0.4044,0.3506,0.4004,0.3537,0.3896,0.3819,0.2518,0.2616
C0116,0.4451,0.4339,0.1508,0.2021,0.3323,0.2088,0.1143,0.0756,0.123,0.1788,0.0634,0.2142
C0117,0.1292,0.1617,0.1623,0.1342,0.1306,0.4618,0.1138,0.2515,0.127,0.1803,0.0657,0.1597
C0118,0.5744,0.648,0.2468,0.3106,0.1947,0.2702,0.2169,0.1981,0.2545,0.2307,0.1671,0.2506
C0119,0.2007,0.1783,0.4453,0.1805,0.4171,0.4456,0.0916,0.1182,0.1399,0.1577,0.1426,0.1707
C0120,0.2787,0.1519,0.1422,0.1379,0.1736,0.173,0.0878,0.0449,0.0415,0.134,0.1752,0.2218
