client_id,motivation
K00153,0.3422
K00154,0.2237
K00155,0.4186
K00156,0.6025
K00157,0.4791
K00158,0.628
K00159,0.688
K00160,0.3526
K00161,0.9544
K00162,0.8212
K00163,0.7087
K00164,0.7368
K00165,0.6396
K00166,0.6377
K00167,0.537
K00168,0.4542
K00169,0.6599
K00170,0.2822
K00171,0.5246
K00172,0.4746
K00173,0.6921
K00174,0.4006
K00175,0.7582
K00176,0.9331
K00177,0.6486
K00178,0.5061
K00179,0.447
K00180,0.5467
K00181,0.2582
K00182,0.3916
K00183,0.7545
K00184,0.6002
K00185,0.0618
K00186,0.3291
K00187,0.9243
K00188,0.316
K00189,0.6124
K00190,0.8634
K00191,0.4355
K00192,0.8149
K00193,0.5689
K00194,0.6145
K00195,0.7903
K00196,0.5902
K00197,0.669
K00198,0.7787
K00199,0.7226
K00200,0.8277
K00201,0.4947
K00202,0.3849
K00203,0.7212
K00204,0.4364
K00205,0.447
K00206,0.6049
K00207,0.8955
K00208,0.7824
K00209,0.6332
K00210,0.6538
K00211,0.2589
K00212,0.5099
K00213,0.2881
K00214,0.4046
K00215,0.5667
K00216,0.7595
K00217,0.6967
K00218,0.5092
K00219,0.817
K00220,0.5888
K00221,0.4471
K00222,0.5405
K00223,0.7162
K00224,0.5332
K00225,0.5912
K00226,0.5632
K00227,0.6236
K00228,0.9744
K00229,0.5736
K00230,0.7112
K00231,0.5256
K00232,0.4678
K00233,0.1983
K00234,0.597
K00235,0.6089
K00236,0.6325
K00237,0.8555
K00238,0.2433
K00239,0.5939
K00240,0.5847
K00241,0.8343
K00242,0.7734
K00243,0.6575
K00244,0.5726
K00245,0.5016
K00246,0.3491
K00247,0.6625
K00248,0.6829
K00249,0.6739
K00250,0.6111
K00251,0.6246
K00252,0.5869
K00253,0.3667
K00254,0.8729
K00255,0.6321
K00256,0.4596
K00257,0.5823
K00258,0.361
K00259,0.8026
K00260,0.4208
K00261,0.3634
K00262,0.545
K00263,0.2848
K00264,0.4174
K00265,0.4736
K00266,0.3838
K00267,0.8107
K00268,0.4224
K00269,0.5617
K00270,0.4074
K00271,0.7679
K00272,0.1748
K00273,0.2678
K00274,0.6107
K00275,0.7045
K00276,0.4845
K00277,0.3393
K00278,0.5307
K00279,0.5492
K00280,0.5549
K00281,0.9145
K00282,0.2101
K00283,0.1364
K00284,0.6687
K00285,0.8496
K00286,0.3163
K00287,0.9873
K00288,0.5041
K00289,0.8462
K00290,0.6545
K00291,0.6166
K00292,0.2063
K00293,0.6397
K00294,0.6845
K00295,0.3155
K00296,0.2077
K00297,0.3381
K00298,0.7649
K00299,0.2437
K00300,0.6167
K00301,0.5131
K00302,0.6017
K00303,0.7483
K00304,0.6582
K00305,0.8385
K00306,0.8303
K00307,0.9053
K00308,0.6756
K00309,0.4051
K00310,0.5489
K00311,0.7636
K00312,0.842
K00313,0.6379
K00314,0.6419
K00315,0.2706
K00316,0.6935
K00317,0.8164
K00318,0.4908
K00319,0.294
K00320,0.3112
K00321,0.6483
K00322,0.6728
K00323,0.3375
K00324,0.8407
K00325,0.6187
K00326,0.7067
K00327,0.7214
K00328,0.5713
K00329,0.4181
K00330,0.7063
K00331,0.8835
K00332,0.9549
K00333,0.523
K00334,0.7004
K00335,0.1228
K00336,0.9366
K00337,0.251
K00338,0.6201
K00339,0.7961
K00340,0.9067
K00341,0.5606
K00342,0.5164
K00343,0.5477
K00344,0.8063
K00345,0.6747
K00346,0.3946
K00347,0.6678
K00348,0.6073
K00349,0.6022
K00350,0.8545
K00351,0.5917
K00352,0.4274
K00353,0.5235
K00354,0.8115
K00355,0.7069
K00356,0.6183
K00357,0.7293
K00358,0.6858
K00359,0.7004
K00360,0.4837
K00361,0.3822
K00362,0.9072
K00363,0.5668
K00364,0.5624
K00365,0.8498
K00366,0.6582
K00367,0.3413
K00368,0.9149
K00369,0.8302
K00370,0.498
K00371,0.6743
K00372,0.8934
K00373,0.6866
K00374,0.8213
K00375,0.7171
K00376,0.64
K00377,0.8193
K00378,0.7367
K00379,0.3037
K00380,0.3916
K00381,0.5249
K00382,0.742
K00383,0.3088
K00384,0.5432
K00385,0.473
K00386,0.8278
K00387,0.7108
K00388,0.4344
K00389,0.7912
K00390,0.7989
K00391,0.5886
K00392,0.7083
K00393,0.6726
K00394,0.9558
K00395,0.7275
K00396,0.8974
K00397,0.7086
K00398,0.9306
K00399,0.9663
K00400,0.8765
K00401,0.8884
K00402,0.7513
K00403,0.905
K00404,0.3381
K00405,0.7641
K00406,0.6537
K00407,0.4195
K00408,0.6513
K00409,0.9
K00410,0.7331
K00411,0.8252
K00412,0.9531
K00413,0.5651
K00414,0.6154
K00415,0.7333
K00416,0.3433
K00417,0.5464
K00418,0.904
K00419,0.8054
K00420,0.8153
K00421,0.602
K00422,0.3488
K00423,0.5616
K00424,0.7536
K00425,0.7489
K00426,0.4415
K00427,0.421
K00428,0.3989
K00429,0.8537
K00430,0.4803
K00431,0.3203
K00432,0.5612
K00433,0.4916
K00434,0.2968
K00435,0.5193
K00436,0.8566
K00437,0.6115
K00438,0.7593
K00439,0.5607
K00440,0.7666
K00441,0.5043
K00442,0.3389
K00443,0.4953
K00444,0.2967
K00445,0.341
K00446,0.638
K00447,0.6519
K00448,0.7187
K00449,0.269
K00450,0.4116
K00451,0.8593
K00452,0.1823
K00453,0.5539
K00454,0.2812
K00455,0.4747
K00456,0.7054
K00457,0.565
K00458,0.5561
K00459,0.2321
K00460,0.7448
K00461,0.8959
K00462,0.8184
K00463,0.8186
K00464,0.5647
K00465,0.8868
K00466,0.6224
K00467,0.6368
K00468,0.5497
K00469,0.6513
K00470,0.6726
K00471,0.6663
K00472,0.4582
K00473,0.5224
K00474,0.5589
K00475,0.3357
K00476,0.5987
K00477,0.7676
K00478,0.1684
K00479,0.5499
K00480,0.5577
K00481,0.7466
K00482,0.7472
K00483,0.3301
K00484,0.8567
K00485,0.7597
K00486,0.7765
K00487,0.5633
K00488,0.5161
K00489,0.7563
K00490,0.477
K00491,0.7222
K00492,0.3258
K00493,0.8367
K00494,0.4291
K00495,0.5769
K00496,0.5914
K00497,0.6536
K00498,0.8272
K00499,0.3786
K00500,0.35
K00501,0.7327
K00502,0.4152
K00503,0.8006
K00504,0.3735
K00505,0.4994
K00506,0.6568
K00507,0.8287
K00508,0.9772
K00509,0.7362
K00510,0.4949
K00511,0.1994
K00512,0.7686
K00513,0.905
K00514,0.6031
K00515,0.239
K00516,0.2477
K00517,0.55
K00518,0.838
K00519,0.2797
K00520,0.2745
K00521,0.4517
K00522,0.5753
K00523,0.3731
K00524,0.648
K00525,0.8305
K00526,0.6051
K00527,0.739
K00528,0.0823
K00529,0.7123
K00530,0.7304
K00531,0.4792
K00532,0.5863
K00533,0.4219
K00534,0.8587
K00535,0.5527
K00536,0.5909
K00537,0.4441
K00538,0.8465
K00539,0.2728
K00540,0.661
K00541,0.5188
K00542,0.9147
K00543,0.7039
K00544,0.5397
K00545,0.7234
K00546,0.734
K00547,0.4218
K00548,0.5916
K00549,0.9233
K00550,0.6341
K00551,0.1305
K00552,0.468
K00553,0.4365
K00554,0.802
K00555,0.3628
K00556,0.415
K00557,0.7401
K00558,0.3674
K00559,0.8962
K00560,0.4892
K00561,0.8153
K00562,0.3044
K00563,0.3521
K00564,0.7545
K00565,0.6031
K00566,0.3117
K00567,0.4085
K00568,0.7114
K00569,0.8197
K00570,0.5064
K00571,0.6698
K00572,0.5853
K00573,0.7229
K00574,0.2464
K00575,0.8373
K00576,0.4404
K00577,0.6214
K00578,0.3287
K00579,0.8136
K00580,0.658
K00581,0.3138
K00582,0.2179
K00583,0.9533
K00584,0.4373
K00585,0.444
K00586,0.4698
K00587,0.591
K00588,0.7321
K00589,0.3396
K00590,0.7574
K00591,0.5787
K00592,0.9033
K00593,0.2855
K00594,0.2142
K00595,0.6629
K00596,0.6347
K00597,0.7777
K00598,0.7045
K00599,0.9149
K00600,0.6412
K00601,0.8079
K00602,0.3068
K00603,0.3444
K00604,0.5965
K00605,0.4504
K00606,0.6592
K00607,0.5493
K00608,0.2018
K00609,0.6603
K00610,0.8463
K00611,0.4491
K00612,0.545
K00613,0.8294
K00614,0.5609
K00615,0.6335
K00616,0.5653
K00617,0.5555
K00618,0.5469
K00619,0.6228
K00620,0.7848
K00621,0.316
K00622,0.7673
K00623,0.9584
K00624,0.5856
K00625,0.8046
K00626,0.6755
K00627,0.6038
K00628,0.4691
K00629,0.6205
K00630,0.8359
K00631,0.7154
K00632,0.8365
K00633,0.2755
K00634,0.6765
K00635,0.9651
K00636,0.4205
K00637,0.4263
K00638,0.5549
K00639,0.5029
K00640,0.5764
K00641,0.4115
K00642,0.5563
K00643,0.4405
K00644,0.2806
K00645,0.7977
K00646,0.6695
K00647,0.5635
K00648,0.5779
K00649,0.733
K00650,0.6186
K00651,0.8367
K00652,0.4351
K00653,0.4824
K00654,0.439
K00655,0.6104
K00656,0.4585
K00657,0.7006
K00658,0.3795
K00659,0.2463
K00660,0.663
K00661,0.6319
K00662,0.1376
K00663,0.4861
K00664,0.8816
K00665,0.7973
K00666,0.5115
K00667,0.5188
K00668,0.6333
K00669,0.6093
K00670,0.476
K00671,0.4293
K00672,0.9137
K00673,0.2426
K00674,0.4508
K00675,0.8918
K00676,0.6518
K00677,0.4445
K00678,0.7537
K00679,0.4414
K00680,0.502
K00681,0.9001
K00682,0.2555
K00683,0.6414
K00684,0.5625
K00685,0.3967
K00686,0.5481
K00687,0.473
K00688,0.3886
K00689,0.5477
K00690,0.7531
K00691,0.7588
K00692,0.5167
K00693,0.8073
K00694,0.6903
K00695,0.6414
K00696,0.1431
K00697,0.649
K00698,0.6159
K00699,0.8547
K00700,0.72
K00701,0.7622
K00702,0.2033
K00703,0.5711
K00704,0.7349
K00705,0.5761
K00706,0.778
K00707,0.8273
K00708,0.8381
K00709,0.8576
K00710,0.4934
K00711,0.6121
K00712,0.6543
K00713,0.6964
K00714,0.6536
K00715,0.6098
K00716,0.8415
K00717,0.472
K00718,0.5509
K00719,0.52
K00720,0.3714
K00721,0.5028
K00722,0.8872
K00723,0.6614
K00724,0.4455
K00725,0.6198
K00726,0.5809
K00727,0.4511
K00728,0.3424
K00729,0.8227
K00730,0.7073
K00731,0.5123
K00732,0.5
K00733,0.3814
K00734,0.4947
K00735,0.9335
K00736,0.7577
K00737,0.5243
K00738,0.8156
K00739,0.8107
K00740,0.7776
K00741,0.6621
K00742,0.485
K00743,0.7004
K00744,0.604
K00745,0.3438
K00746,0.7203
K00747,0.3799
K00748,0.4759
K00749,0.4848
K00750,0.4756
K00751,0.0991
K00752,0.5166
K00753,0.305
K00754,0.7537
K00755,0.4091
K00756,0.9703
K00757,0.5144
K00758,0.2706
K00759,0.5677
K00760,0.4055
K00761,0.5261
K00762,0.6514
K00763,0.153
K00764,0.5577
K00765,0.3843
K00766,0.2872
K00767,0.7481
K00768,0.3635
K00769,0.7728
K00770,0.6383
K00771,0.2892
K00772,0.4919
K00773,0.6919
K00774,0.4097
K00775,0.7147
K00776,0.8192
K00777,0.604
K00778,0.9094
K00779,0.8852
K00780,0.8253
K00781,0.9817
K00782,0.8251
K00783,0.8068
K00784,0.6082
K00785,0.6274
K00786,0.6876
K00787,0.9561
K00788,0.5714
K00789,0.8483
K00790,0.8063
K00791,0.9283
K00792,0.6565
K00793,0.6469
K00794,0.8844
K00795,0.8147
K00796,0.6279
K00797,0.615
K00798,0.3297
K00799,0.5223
K00800,0.5988
K00801,0.0884
K00802,0.2673
K00803,0.4266
K00804,0.6359
K00805,0.6337
K00806,0.9271
K00807,0.9653
K00808,0.575
K00809,0.8467
K00810,0.3647
K00811,0.3526
K00812,0.4832
K00813,0.4966
K00814,0.2901
K00815,0.5083
K00816,0.6388
K00817,0.315
K00818,0.5212
K00819,0.5305
K00820,0.7221
K00821,0.4793
K00822,0.2651
K00823,0.4762
K00824,0.856
K00825,0.411
K00826,0.6898
K00827,0.5447
K00828,0.5133
K00829,0.5351
K00830,0.1202
K00831,0.7694
K00832,0.6662
K00833,0.6351
K00834,0.4069
K00835,0.6726
K00836,0.6356
K00837,0.5682
K00838,0.3483
K00839,0.4748
K00840,0.2448
K00841,0.631
K00842,0.4431
K00843,0.5854
K00844,0.4307
K00845,0.5585
K00846,0.3088
K00847,0.7934
K00848,0.5
K00849,0.2752
K00850,0.538
K00851,0.6183
K00852,0.8999
K00853,0.6625
K00854,0.7048
K00855,0.6513
K00856,0.7399
K00857,0.1415
K00858,0.5898
K00859,0.5655
K00860,0.6796
K00861,0.5157
K00862,0.3543
K00863,0.8736
K00864,0.7178
K00865,0.4684
K00866,0.5372
K00867,0.9279
K00868,0.7353
K00869,0.4397
K00870,0.658
K00871,0.6877
K00872,0.7503
K00873,0.799
K00874,0.7694
K00875,0.8404
K00876,0.1846
K00877,0.533
K00878,0.8112
K00879,0.5723
K00880,0.9288
K00881,0.6229
K00882,0.8082
K00883,0.7849
K00884,0.7007
K00885,0.4387
K00886,0.7482
K00887,0.5051
K00888,0.5921
K00889,0.801
K00890,0.726
K00891,0.617
K00892,0.9038
K00893,0.7567
K00894,0.3183
K00895,0.5689
K00896,0.5918
K00897,0.3392
K00898,0.651
K00899,0.7491
K00900,0.9252
K00901,0.6954
K00902,0.6135
K00903,0.6193
K00904,0.5144
K00905,0.3922
K00906,0.4568
K00907,0.6404
K00908,0.2644
K00909,0.8312
K00910,0.5941
K00911,0.6706
K00912,0.1659
K00913,0.3626
K00914,0.7847
K00915,0.6101
K00916,0.4377
K00917,0.675
K00918,0.9684
K00919,0.7096
K00920,0.6025
K00921,0.3572
K00922,0.9484
K00923,0.529
K00924,0.4233
K00925,0.0716
K00926,0.6977
K00927,0.5192
K00928,0.8086
K00929,0.7207
K00930,0.6295
K00931,0.8385
K00932,0.8474
K00933,0.2365
K00934,0.5046
K00935,0.8189
K00936,0.5635
K00937,0.2787
K00938,0.9631
K00939,0.8524
K00940,0.6711
K00941,0.5358
K00942,0.2417
K00943,0.5281
K00944,0.9216
K00945,0.1354
K00946,0.8705
K00947,0.675
K00948,0.6438
K00949,0.421
K00950,0.738
K00951,0.8679
K00952,0.8488
K00953,0.3817
K00954,0.8268
K00955,0.8065
K00956,0.7913
K00957,0.2286
K00958,0.5935
K00959,0.5109
K00960,0.6644
K00961,0.3056
K00962,0.074
K00963,0.3345
K00964,0.3692
K00965,0.4594
K00966,0.3563
K00967,0.8118
K00968,0.5398
K00969,0.7416
K00970,0.4175
K00971,0.6703
K00972,0.7979
K00973,0.3273
K00974,0.7036
K00975,0.6753
K00976,0.7865
K00977,0.7848
K00978,0.8001
K00979,0.9472
K00980,0.7932
K00981,0.6963
K00982,0.6418
K00983,0.266
K00984,0.4903
K00985,0.8444
K00986,0.4322
K00987,0.6553
K00988,0.7969
K00989,0.7651
K00990,0.7508
K00991,0.7739
K00992,0.8725
K00993,0.1441
K00994,0.8484
K00995,0.372
K00996,0.3694
K00997,0.727
K00998,0.865
K00999,0.645
K01000,0.5967
K01001,0.8535
K01002,0.1023
K01003,0.675
K01004,0.5999
K01005,0.4676
K01006,0.4187
K01007,0.9227
K01008,0.8563
K01009,0.3137
K01010,0.7303
K01011,0.6737
K01012,0.6042
K01013,0.7437
K01014,0.6946
K01015,0.5102
K01016,0.693
K01017,0.5843
K01018,0.6178
K01019,0.7636
K01020,0.5376
K01021,0.6053
K01022,0.8571
K01023,0.6387
K01024,0.388
K01025,0.8728
K01026,0.8126
K01027,0.3413
K01028,0.5348
K01029,0.6211
K01030,0.8421
K01031,0.5996
K01032,0.7062
K01033,0.3847
K01034,0.7181
K01035,0.8538
K01036,0.8163
K01037,0.5958
K01038,0.3225
K01039,0.5419
K01040,0.6454
K01041,0.6917
K01042,0.925
K01043,0.7163
K01044,0.9102
K01045,0.5266
K01046,0.9082
K01047,0.7062
K01048,0.9089
K01049,0.6837
K01050,0.5721
K01051,0.3861
K01052,0.9364
K01053,0.3176
K01054,0.3594
K01055,0.4346
K01056,0.5527
K01057,0.409
K01058,0.6933
K01059,0.8429
K01060,0.8096
K01061,0.4993
K01062,0.8849
K01063,0.4857
K01064,0.4259
K01065,0.6115
K01066,0.1849
K01067,0.7831
K01068,0.6103
K01069,0.3631
K01070,0.4297
K01071,0.7293
K01072,0.525
K01073,0.6317
K01074,0.5407
K01075,0.5598
K01076,0.275
K01077,0.588
K01078,0.6561
K01079,0.8953
K01080,0.4459
K01081,0.5787
K01082,0.2708
K01083,0.5863
K01084,0.6909
K01085,0.7989
K01086,0.5502
K01087,0.584
K01088,0.3547
K01089,0.702
K01090,0.595
K01091,0.8335
K01092,0.9
K01093,0.5549
K01094,0.5891
K01095,0.3745
K01096,0.3628
K01097,0.549
K01098,0.6478
K01099,0.4146
K01100,0.5464
K01101,0.5814
K01102,0.8158
K01103,0.4265
K01104,0.6661
K01105,0.6099
K01106,0.2672
K01107,0.3211
K01108,0.8274
K01109,0.1255
K01110,0.7141
K01111,0.5226
K01112,0.1798
K01113,0.6151
K01114,0.3552
K01115,0.7174
K01116,0.7763
K01117,0.4029
K01118,0.7685
K01119,0.8115
K01120,0.2539
K01121,0.1914
K01122,0.6298
K01123,0.8199
K01124,0.6721
K01125,0.6052
K01126,0.5593
K01127,0.6402
K01128,0.736
K01129,0.6981
K01130,0.2043
K01131,0.6054
K01132,0.9121
K01133,0.8072
K01134,0.9933
K01135,0.2488
K01136,0.4009
K01137,0.6175
K01138,0.7981
K01139,0.7573
K01140,0.8199
K01141,0.5368
K01142,0.4925
K01143,0.2428
K01144,0.5965
K01145,0.4512
K01146,0.7518
K01147,0.4945
K01148,0.6018
K01149,0.5874
K01150,0.5546
K01151,0.8188
K01152,0.4687
K01153,0.349
K01154,0.7102
K01155,0.8683
K01156,0.4575
K01157,0.7198
K01158,0.4972
K01159,0.9149
K01160,0.8863
K01161,0.8419
K01162,0.8211
K01163,0.8946
K01164,0.5177
K01165,0.6454
K01166,0.6068
K01167,0.6894
K01168,0.503
K01169,0.1615
K01170,0.7598
K01171,0.4893
K01172,0.8143
K01173,0.9212
K01174,0.5646
K01175,0.5369
K01176,0.6879
K01177,0.6358
K01178,0.7239
K01179,0.6706
K01180,0.7291
K01181,0.3669
K01182,0.7589
K01183,0.6807
K01184,0.9473
K01185,0.6891
K01186,0.5047
K01187,0.8688
K01188,0.5533
K01189,0.262
K01190,0.6769
K01191,0.7328
K01192,0.3326
K01193,0.7241
K01194,0.6758
K01195,0.9055
K01196,0.4746
K01197,0.244
K01198,0.4435
K01199,0.5849
K01200,0.6718
K01201,0.6589
K01202,0.6126
K01203,0.8796
K01204,0.2486
K01205,0.4815
K01206,0.6481
K01207,0.6269
K01208,0.6826
K01209,0.8931
K01210,0.9386
K01211,0.8058
K01212,0.6443
K01213,0.822
K01214,0.7645
K01215,0.627
K01216,0.8321
K01217,0.8431
K01218,0.8272
K01219,0.8499
K01220,0.5404
K01221,0.2652
K01222,0.5842
K01223,0.6286
K01224,0.335
K01225,0.4802
K01226,0.9164
K01227,0.2548
K01228,0.6156
K01229,0.5841
K01230,0.8062
K01231,0.0931
K01232,0.3753
K01233,0.5439
K01234,0.6933
K01235,0.6334
K01236,0.2456
K01237,0.6224
K01238,0.8692
K01239,0.8164
K01240,0.7048
K01241,0.2397
K01242,0.5657
K01243,0.7272
K01244,0.8389
K01245,0.8377
K01246,0.6599
K01247,0.7153
K01248,0.405
K01249,0.4061
K01250,0.324
K01251,0.6582
K01252,0.4596
K01253,0.3736
K01254,0.9467
K01255,0.4481
K01256,0.2217
K01257,0.659
K01258,0.3677
K01259,0.7279
K01260,0.4866
K01261,0.5743
K01262,0.7592
K01263,0.3401
K01264,0.5566
K01265,0.2422
K01266,0.7031
K01267,0.7653
K01268,0.4617
K01269,0.3688
K01270,0.2891
K01271,0.8574
K01272,0.5503
K01273,0.5851
K01274,0.8859
K01275,0.3446
K01276,0.8618
K01277,0.772
K01278,0.6187
K01279,0.6331
K01280,0.6089
K01281,0.7526
K01282,0.7336
K01283,0.7636
K01284,0.5237
K01285,0.4879
K01286,0.6066
K01287,0.4399
K01288,0.7224
K01289,0.4201
K01290,0.5019
K01291,0.51
K01292,0.8342
K01293,0.6633
K01294,0.5764
K01295,0.507
K01296,0.67
K01297,0.3904
K01298,0.3682
K01299,0.511
K01300,0.6336
K01301,0.5927
K01302,0.4066
K01303,0.5257
K01304,0.6351
K01305,0.8467
K01306,0.8598
K01307,0.7756
K01308,0.8775
K01309,0.4395
K01310,0.732
K01311,0.9157
K01312,0.6346
K01313,0.1319
K01314,0.2776
K01315,0.404
K01316,0.2355
K01317,0.5589
K01318,0.8032
K01319,0.5969
K01320,0.769
K01321,0.8071
K01322,0.6836
K01323,0.8267
K01324,0.3687
K01325,0.6495
K01326,0.3196
K01327,0.6517
K01328,0.5894
K01329,0.8559
K01330,0.5112
K01331,0.4952
K01332,0.4715
K01333,0.6981
K01334,0.519
K01335,0.3973
K01336,0.5782
K01337,0.902
K01338,0.6387
K01339,0.6587
K01340,0.4062
K01341,0.5831
K01342,0.6848
K01343,0.4416
K01344,0.6742
K01345,0.5388
K01346,0.2856
K01347,0.8325
K01348,0.5178
K01349,0.2211
K01350,0.6355
K01351,0.875
K01352,0.4374
K01353,0.6255
K01354,0.6865
K01355,0.772
K01356,0.4471
K01357,0.7382
K01358,0.5413
K01359,0.9348
K01360,0.6828
K01361,0.6349
K01362,0.6249
K01363,0.8067
K01364,0.8079
K01365,0.8738
K01366,0.679
K01367,0.4545
K01368,0.3725
K01369,0.5702
K01370,0.561
K01371,0.6852
K01372,0.507
K01373,0.6913
K01374,0.7752
K01375,0.7363
K01376,0.5777
K01377,0.5527
K01378,0.3998
K01379,0.8057
K01380,0.8012
K01381,0.5469
K01382,0.8759
K01383,0.5504
K01384,0.6521
K01385,0.4503
K01386,0.5115
K01387,0.3399
K01388,0.8191
K01389,0.6858
K01390,0.6869
K01391,0.7486
K01392,0.3678
K01393,0.7963
K01394,0.3529
K01395,0.8259
K01396,0.2086
K01397,0.652
K01398,0.9178
K01399,0.705
K01400,0.8312
K01401,0.2298
K01402,0.4036
K01403,0.3988
K01404,0.5748
K01405,0.3177
K01406,0.4793
K01407,0.7242
K01408,0.3529
K01409,0.1947
K01410,0.3882
K01411,0.5679
K01412,0.2116
K01413,0.6386
K01414,0.5805
K01415,0.8609
K01416,0.4249
K01417,0.7818
K01418,0.7026
K01419,0.2483
K01420,0.9193
K01421,0.7993
K01422,0.9128
K01423,0.8134
K01424,0.8629
K01425,0.5318
K01426,0.8868
K01427,0.5118
K01428,0.594
K01429,0.6336
K01430,0.5505
K01431,0.7454
K01432,0.3351
K01433,0.7489
K01434,0.3627
K01435,0.8436
K01436,0.4764
K01437,0.928
K01438,0.8028
K01439,0.5064
K01440,0.7545
K01441,0.4102
K01442,0.8008
K01443,0.9002
K01444,0.8644
K01445,0.5104
K01446,0.8061
K01447,0.8259
K01448,0.5006
K01449,0.354
K01450,0.1908
K01451,0.3841
K01452,0.1981
K01453,0.5829
K01454,0.7366
K01455,0.7294
K01456,0.6439
K01457,0.8152
K01458,0.5078
K01459,0.884
K01460,0.6491
K01461,0.8415
K01462,0.9321
K01463,0.6514
K01464,0.4056
K01465,0.8293
K01466,0.7396
K01467,0.7835
K01468,0.548
K01469,0.2258
K01470,0.4652
K01471,0.4486
K01472,0.722
K01473,0.4984
K01474,0.5459
K01475,0.59
K01476,0.2186
K01477,0.6248
K01478,0.7251
K01479,0.5906
K01480,0.7721
K01481,0.8331
K01482,0.6036
K01483,0.4602
K01484,0.7921
K01485,0.8992
K01486,0.9804
K01487,0.5493
K01488,0.2236
K01489,0.4505
K01490,0.8041
K01491,0.6043
K01492,0.851
K01493,0.905
K01494,0.4615
K01495,0.772
K01496,0.4622
K01497,0.8836
K01498,0.79
K01499,0.6103
K01500,0.8657
K01501,0.4394
K01502,0.5791
K01503,0.7171
K01504,0.445
K01505,0.6155
K01506,0.5384
K01507,0.5551
K01508,0.6506
K01509,0.732
K01510,0.8334
K01511,0.6807
K01512,0.9303
K01513,0.2716
K01514,0.6894
K01515,0.472
K01516,0.8043
K01517,0.67
K01518,0.6597
K01519,0.6143
K01520,0.6112
K01521,0.4032
K01522,0.6858
K01523,0.9604
K01524,0.7192
K01525,0.2515
K01526,0.3802
K01527,0.3937
K01528,0.5708
K01529,0.4682
K01530,0.6282
K01531,0.6484
K01532,0.8587
K01533,0.9751
K01534,0.6221
K01535,0.6354
K01536,0.5459
K01537,0.426
K01538,0.4971
K01539,0.8712
K01540,0.7786
K01541,0.7135
K01542,0.3738
K01543,0.2852
K01544,0.2772
K01545,0.6902
K01546,0.3638
K01547,0.5696
K01548,0.4623
K01549,0.5298
K01550,0.5214
K01551,0.4542
K01552,0.5431
K01553,0.2678
K01554,0.564
K01555,0.7768
K01556,0.0188
K01557,0.5229
K01558,0.4875
K01559,0.7597
K01560,0.2267
K01561,0.6356
K01562,0.6118
K01563,0.5745
K01564,0.3721
K01565,0.8424
K01566,0.6941
K01567,0.6335
K01568,0.703
K01569,0.5451
K01570,0.1614
K01571,0.7841
K01572,0.2365
