client_id,coach_id,need_competency_alignment,true_competence_primary,sector_match,working_style_compat,personality_sim
K00022,C0042,0.0,0.072,0.0,0.915,0.9676
K00335,C0119,1.0,0.4456,0.0,0.6955,0.9416
K00335,C0090,1.0,0.556,0.0,0.8636,0.9033
K00335,C0117,1.0,0.4618,0.0,0.655,0.892
K00166,C0054,0.8333,0.5377,0.0,0.8524,0.9576
K00166,C0036,0.8333,0.5764,0.0,0.7867,0.8555
K00166,C0012,0.8333,0.6014,0.0,0.7103,0.904
K00087,C0111,1.0,0.652,0.0,0.7833,0.8686
K00087,C0088,0.6667,0.5845,0.0,0.743,0.9126
K00087,C0027,0.6667,0.3074,0.0,0.6654,0.8645
K00601,C0103,1.0,0.8055,0.0,0.8438,0.9045
K00601,C0045,0.3333,0.3148,1.0,0.8707,0.9106
K00601,C0028,0.8333,0.735,1.0,0.9275,0.8719
K00427,C0103,1.0,0.7432,0.0,0.7849,0.8784
K00427,C0007,1.0,0.6328,0.0,0.6007,0.789
K00427,C0032,0.5,0.1988,0.0,0.7019,0.9696
K00037,C0006,1.0,0.6363,0.0,0.5825,0.923
K00037,C0101,1.0,0.719,0.0,0.6863,0.9443
K00037,C0012,1.0,0.6397,0.0,0.5959,0.716
K00438,C0052,1.0,0.4897,0.0,0.8872,0.9404
K00438,C0004,1.0,0.4518,0.0,0.9532,0.9163
K00438,C0019,1.0,0.6336,0.0,0.7732,0.9385
K00259,C0006,1.0,0.6363,0.0,0.6389,0.9697
K00259,C0082,1.0,0.5546,0.0,0.8458,0.8961
K00259,C0116,1.0,0.4451,0.0,0.6845,0.9295
K00453,C0114,0.6667,0.1733,0.0,0.8,0.9507
K00453,C0031,0.6667,0.2498,0.0,0.7281,0.8196
K00453,C0084,0.6667,0.3213,0.0,0.9017,0.8301
K00496,C0006,0.8333,0.6363,0.0,0.6747,0.9444
K00496,C0101,0.8333,0.719,0.0,0.9077,0.9
K00496,C0012,0.8333,0.6397,0.0,0.8274,0.7122
K00276,C0022,1.0,0.1985,0.0,0.7152,0.974
K00276,C0054,1.0,0.146,0.0,0.879,0.9758
K00276,C0049,0.75,0.2147,0.0,0.6143,0.8929
K00470,C0078,1.0,0.6291,0.0,0.7977,0.99
K00470,C0045,1.0,0.7126,0.0,0.884,0.9682
K00470,C0002,1.0,0.622,0.0,0.787,0.942
K00415,C0007,1.0,0.6328,0.0,0.5863,0.9842
K00415,C0039,1.0,0.2408,0.0,0.6435,0.9461
K00415,C0094,1.0,0.2578,0.0,0.6048,0.9497
K00143,C0006,0.875,0.6363,1.0,0.7349,0.9548
K00143,C0073,0.875,0.4327,0.0,0.9468,0.8988
K00143,C0094,0.875,0.2578,0.0,0.8493,0.8788
K00563,C0060,1.0,0.5578,0.0,0.753,0.8292
K00563,C0004,1.0,0.4518,0.0,0.6889,0.7304
K00563,C0068,1.0,0.6102,0.0,0.4504,0.6925
K00033,C0054,0.75,0.5085,0.0,0.7474,0.8781
K00033,C0097,0.5,0.2048,0.0,0.8267,0.9817
K00033,C0024,0.5,0.2487,0.0,0.9261,0.981
K00121,C0081,1.0,0.6106,0.0,0.7764,0.9203
K00121,C0013,1.0,0.7336,0.0,0.8924,0.8734
K00121,C0002,1.0,0.6233,0.0,0.8788,0.8532
K00403,C0081,1.0,0.6106,0.0,0.6461,0.8136
K00403,C0013,1.0,0.7336,0.0,0.6292,0.7317
K00403,C0031,1.0,0.1852,0.0,0.7724,0.9217
K00306,C0094,1.0,0.2578,0.0,0.7003,0.6794
K00306,C0039,1.0,0.2408,0.0,0.7853,0.6381
K00306,C0004,0.5,0.2343,0.0,0.8562,0.9294
K00170,C0087,0.8333,0.5538,0.0,0.6064,0.896
K00170,C0066,0.8333,0.5472,0.0,0.7168,0.8544
K00170,C0017,0.8333,0.3955,0.0,0.7785,0.8213
K00244,C0081,1.0,0.6119,0.0,0.7869,0.9721
K00244,C0002,1.0,0.622,1.0,0.5126,0.9272
K00244,C0013,1.0,0.8026,0.0,0.7204,0.7736
K00561,C0004,0.6667,0.4518,0.0,0.8501,0.9805
K00561,C0060,0.8333,0.5578,0.0,0.6397,0.9199
K00561,C0068,0.6667,0.6102,1.0,0.7785,0.8897
K00199,C0009,1.0,0.6638,0.0,0.7777,0.9774
K00199,C0090,1.0,0.556,0.0,0.8136,0.9742
K00199,C0007,1.0,0.6102,0.0,0.705,0.8954
K00368,C0054,0.75,0.5085,0.0,0.6857,0.9442
K00368,C0100,0.5,0.3374,0.0,0.7354,0.9634
K00368,C0109,0.5,0.418,0.0,0.8535,0.9541
K00582,C0042,1.0,0.1769,0.0,0.8095,0.8362
K00582,C0119,1.0,0.4171,0.0,0.81,0.838
K00582,C0117,1.0,0.1306,0.0,0.699,0.9622
K00550,C0054,0.75,0.5085,0.0,0.6884,0.9543
K00550,C0075,0.75,0.8681,0.0,0.7278,0.9145
K00550,C0015,0.75,0.581,0.0,0.7747,0.8952
K00246,C0052,1.0,0.2043,0.0,0.878,0.9347
K00246,C0067,0.75,0.1851,0.0,0.7857,0.9638
K00246,C0106,0.75,0.3706,0.0,0.8706,0.9269
K00012,C0048,1.0,0.5787,0.0,0.8703,0.9587
K00012,C0087,1.0,0.6218,0.0,0.6535,0.954
K00012,C0091,1.0,0.7874,0.0,0.5934,0.9847
K00457,C0032,1.0,0.7354,0.0,0.7141,0.9139
K00457,C0007,0.3333,0.5627,0.0,0.7938,0.9242
K00457,C0048,0.3333,0.4966,0.0,0.9201,0.8909
K00358,C0072,1.0,0.4356,0.0,0.8203,0.8875
K00358,C0022,1.0,0.5559,0.0,0.8648,0.7708
K00358,C0067,1.0,0.5637,0.0,0.8829,0.9793
K00312,C0076,0.875,0.9584,0.0,0.7398,0.9609
K00312,C0092,0.75,0.48,0.0,0.7162,0.925
K00312,C0048,0.75,0.4966,0.0,0.8323,0.8917
K00007,C0006,1.0,0.6843,0.0,0.6161,0.9583
K00007,C0094,1.0,0.3064,0.0,0.7003,0.8577
K00007,C0073,1.0,0.4377,0.0,0.7472,0.8812
K00429,C0060,1.0,0.5578,0.0,0.7225,0.8
K00429,C0004,1.0,0.4518,0.0,0.9031,0.6905
K00429,C0068,1.0,0.6102,0.0,0.773,0.6622
K00235,C0032,0.75,0.7354,0.0,0.6937,0.9641
K00235,C0076,0.75,0.9584,0.0,0.7343,0.9121
K00235,C0095,0.75,0.743,0.0,0.8466,0.9839
K00446,C0070,0.5,0.4244,0.0,0.5143,0.9411
K00446,C0032,0.8333,0.7354,1.0,0.6637,0.8744
K00446,C0037,0.5,0.6155,0.0,0.4437,0.9119
K00553,C0027,1.0,0.3254,0.0,0.7332,0.9836
K00553,C0055,1.0,0.5709,0.0,0.8108,0.8631
K00553,C0117,1.0,0.4618,0.0,0.6268,0.9217
K00449,C0054,0.5,0.5377,0.0,0.8728,0.9412
K00449,C0052,1.0,0.2114,0.0,0.8131,0.9392
K00449,C0067,0.6667,0.1265,0.0,0.8121,0.9339
K00196,C0004,1.0,0.5342,0.0,0.8227,0.8479
K00196,C0060,1.0,0.6895,0.0,0.8305,0.7676
K00196,C0068,1.0,0.676,0.0,0.7694,0.7932
K00005,C0007,1.0,0.6328,0.0,0.8368,0.8958
K00005,C0114,1.0,0.2468,0.0,0.8314,0.976
K00005,C0042,0.75,0.1488,0.0,0.7557,0.9436
K00630,C0052,1.0,0.4897,0.0,0.6674,0.8
K00630,C0060,1.0,0.5578,1.0,0.6326,0.7504
K00630,C0022,1.0,0.5559,0.0,0.6487,0.6257
K00455,C0094,1.0,0.2578,0.0,0.6455,0.9245
K00455,C0039,1.0,0.2408,0.0,0.6751,0.8788
K00455,C0019,1.0,0.2609,0.0,0.7889,0.9553
K00282,C0027,0.75,0.3074,0.0,0.789,0.9553
K00282,C0090,0.75,0.4987,0.0,0.8292,0.8096
K00282,C0025,1.0,0.3868,0.0,0.6371,0.8977
K00409,C0101,1.0,0.5686,0.0,0.7196,0.8183
K00409,C0006,1.0,0.6445,0.0,0.8057,0.7917
K00409,C0012,1.0,0.6014,0.0,0.6292,0.6049
K00256,C0036,0.3333,0.2065,0.0,0.6701,0.9068
K00256,C0088,0.3333,0.2292,0.0,0.6772,0.8978
K00256,C0035,0.6667,0.7568,0.0,0.4579,0.8462
K00528,C0024,1.0,0.7644,0.0,0.8662,0.9647
K00528,C0097,0.75,0.6437,0.0,0.6654,0.8924
K00528,C0006,0.75,0.6445,1.0,0.7417,0.9143
K00360,C0114,0.875,0.1733,0.0,0.8512,0.8296
K00360,C0031,0.875,0.2498,0.0,0.8442,0.7271
K00360,C0084,0.875,0.3213,0.0,0.553,0.9107
K00424,C0007,1.0,0.6102,1.0,0.8022,0.7167
K00424,C0114,1.0,0.3236,0.0,0.8269,0.8249
K00424,C0055,0.75,0.5709,0.0,0.7582,0.9259
K00302,C0101,0.75,0.6266,0.0,0.6403,0.8986
K00302,C0006,0.75,0.6843,0.0,0.7788,0.8729
K00302,C0088,0.75,0.5845,0.0,0.7372,0.6397
K00606,C0007,1.0,0.5627,0.0,0.8937,0.8791
K00606,C0103,1.0,0.8055,0.0,0.7765,0.8901
K00606,C0032,0.3333,0.7354,0.0,0.6827,0.9741
K00636,C0097,1.0,0.2276,0.0,0.8407,0.8555
K00636,C0054,1.0,0.146,0.0,0.5848,0.7715
K00636,C0006,1.0,0.3022,0.0,0.6635,0.8787
K00474,C0116,1.0,0.4339,0.0,0.7452,0.9463
K00474,C0032,0.5,0.6018,0.0,0.6936,0.9842
K00474,C0016,0.75,0.1915,0.0,0.7302,0.9524
K00178,C0032,1.0,0.6018,0.0,0.8196,0.9197
K00178,C0095,1.0,0.7331,0.0,0.7659,0.8415
K00178,C0076,1.0,0.8752,0.0,0.7248,0.7911
K00147,C0032,1.0,0.6018,1.0,0.6364,0.9479
K00147,C0093,0.75,0.6502,0.0,0.5706,0.981
K00147,C0027,0.75,0.3074,1.0,0.6804,0.9817
K00202,C0073,0.8333,0.4377,0.0,0.7134,0.8835
K00202,C0107,0.8333,0.4681,1.0,0.8586,0.9463
K00202,C0006,0.8333,0.6843,1.0,0.912,0.9125
K00231,C0058,1.0,0.8854,0.0,0.6068,0.9065
K00231,C0060,1.0,0.6895,0.0,0.7206,0.8223
K00231,C0025,1.0,0.5468,0.0,0.8039,0.9288
K00030,C0032,1.0,0.6018,0.0,0.5622,0.9009
K00030,C0095,1.0,0.7331,0.0,0.8854,0.9077
K00030,C0076,1.0,0.8752,0.0,0.9029,0.9285
K00461,C0027,1.0,0.3074,0.0,0.8275,0.9577
K00461,C0090,1.0,0.4987,0.0,0.7886,0.8776
K00461,C0009,1.0,0.761,0.0,0.6837,0.7809
K00154,C0119,0.8333,0.4453,0.0,0.5913,0.929
K00154,C0114,0.8333,0.1733,0.0,0.6575,0.9654
K00154,C0025,0.8333,0.5468,0.0,0.7997,0.9223
K00390,C0085,0.6667,0.3839,1.0,0.6926,0.938
K00390,C0045,0.6667,0.236,0.0,0.8046,0.921
K00390,C0082,1.0,0.1868,0.0,0.8301,0.9493
K00060,C0004,0.875,0.4518,0.0,0.915,0.9948
K00060,C0008,0.625,0.5669,1.0,0.9143,0.9253
K00060,C0106,0.625,0.813,0.0,0.7769,0.909
K00216,C0020,0.875,0.2874,0.0,0.9149,0.9197
K00216,C0016,0.125,0.2477,0.0,0.7498,0.9786
K00216,C0083,0.125,0.1575,0.0,0.7426,0.9884
K00165,C0097,0.8333,0.6437,0.0,0.7386,0.8777
K00165,C0101,0.8333,0.5686,0.0,0.6561,0.9431
K00165,C0020,0.8333,0.2874,0.0,0.7472,0.8674
K00011,C0027,1.0,0.2245,1.0,0.7996,0.9668
K00011,C0090,1.0,0.1063,0.0,0.7592,0.9371
K00011,C0054,0.6667,0.5377,0.0,0.739,0.9467
K00123,C0032,0.875,0.7354,0.0,0.7642,0.9254
K00123,C0095,0.875,0.743,0.0,0.6243,0.9772
K00123,C0076,0.875,0.9584,0.0,0.5832,0.9621
K00362,C0005,0.8333,0.5118,0.0,0.7912,0.9594
K00362,C0015,0.8333,0.581,0.0,0.814,0.9085
K00362,C0054,0.8333,0.5085,0.0,0.8131,0.8626
K00333,C0089,0.8333,0.9804,0.0,0.7883,0.9679
K00333,C0034,0.8333,0.6993,1.0,0.7132,0.8925
K00333,C0106,0.8333,0.813,0.0,0.912,0.9039
K00502,C0060,0.8333,0.6895,0.0,0.7251,0.8626
K00502,C0004,0.8333,0.5342,0.0,0.8544,0.6658
K00502,C0034,0.6667,0.2406,0.0,0.8603,0.9072
K00274,C0095,0.75,0.7331,0.0,0.8001,0.9144
K00274,C0032,0.75,0.6018,0.0,0.703,0.9562
K00274,C0076,0.75,0.8752,0.0,0.7511,0.9243
K00425,C0081,1.0,0.6106,0.0,0.7362,0.9306
K00425,C0002,1.0,0.6233,1.0,0.9232,0.9106
K00425,C0013,1.0,0.7336,0.0,0.7752,0.74
K00100,C0060,1.0,0.5958,1.0,0.7167,0.9319
K00100,C0094,1.0,0.3064,0.0,0.6461,0.9833
K00100,C0052,1.0,0.5104,0.0,0.7484,0.8275
K00377,C0091,1.0,0.7874,0.0,0.88,0.7939
K00377,C0042,1.0,0.1769,0.0,0.7686,0.8396
K00377,C0087,1.0,0.6218,1.0,0.7792,0.8167
K00015,C0006,1.0,0.6445,1.0,0.8422,0.7785
K00015,C0101,1.0,0.5686,1.0,0.7282,0.6374
K00015,C0012,1.0,0.6014,0.0,0.6657,0.6321
K00600,C0006,1.0,0.6445,0.0,0.8567,0.9188
K00600,C0088,1.0,0.5919,0.0,0.7275,0.9015
K00600,C0071,1.0,0.2298,0.0,0.7761,0.8781
K00382,C0112,1.0,0.34,0.0,0.707,0.9708
K00382,C0046,1.0,0.4495,0.0,0.7141,0.9519
K00382,C0080,1.0,0.2679,0.0,0.6681,0.9869
K00250,C0060,0.75,0.6895,1.0,0.7609,0.9496
K00250,C0058,0.75,0.8854,0.0,0.6761,0.985
K00250,C0025,0.75,0.5468,0.0,0.6911,0.966
K00236,C0008,0.0,0.2141,0.0,0.9279,0.9755
K00236,C0060,0.75,0.2255,0.0,0.8023,0.9326
K00236,C0106,0.0,0.3847,0.0,0.7954,0.948
K00240,C0073,1.0,0.4377,0.0,0.8618,0.9429
K00240,C0082,1.0,0.5063,0.0,0.8646,0.8331
K00240,C0107,1.0,0.4681,0.0,0.806,0.9512
K00605,C0060,0.875,0.6895,0.0,0.6435,0.8877
K00605,C0004,0.875,0.5342,0.0,0.6717,0.7642
K00605,C0068,0.875,0.676,0.0,0.7534,0.6866
K00607,C0009,1.0,0.2631,0.0,0.7458,0.9458
K00607,C0038,1.0,0.02,0.0,0.6651,0.8833
K00607,C0117,1.0,0.127,0.0,0.6954,0.8915
K00332,C0020,0.5,0.2874,0.0,0.8378,0.9496
K00332,C0054,1.0,0.5377,0.0,0.8136,0.968
K00332,C0036,0.5,0.5764,1.0,0.8051,0.8653
K00522,C0034,1.0,0.8531,0.0,0.6685,0.9513
K00522,C0072,1.0,0.4228,0.0,0.6525,0.7375
K00522,C0042,0.25,0.1769,1.0,0.803,0.926
K00056,C0042,1.0,0.1769,0.0,0.8637,0.9445
K00056,C0087,1.0,0.6218,0.0,0.7519,0.9052
K00056,C0048,1.0,0.5787,0.0,0.7488,0.8896
K00526,C0054,0.875,0.5377,0.0,0.5314,0.9475
K00526,C0071,0.875,0.2298,1.0,0.8357,0.9865
K00526,C0006,0.875,0.6445,1.0,0.6101,0.948
K00351,C0119,1.0,0.4171,0.0,0.5766,0.918
K00351,C0042,1.0,0.1769,1.0,0.6994,0.8184
K00351,C0091,0.5,0.7874,0.0,0.7134,0.9476
K00206,C0119,1.0,0.4453,0.0,0.6863,0.9679
K00206,C0025,1.0,0.5468,0.0,0.7232,0.9052
K00206,C0114,1.0,0.1733,0.0,0.8694,0.9126
K00485,C0021,0.8333,0.4724,0.0,0.4801,0.8776
K00485,C0018,0.8333,0.3264,0.0,0.6139,0.8725
K00485,C0032,1.0,0.6018,0.0,0.6566,0.8901
K00317,C0005,0.75,0.5118,0.0,0.8841,0.9868
K00317,C0054,0.75,0.5085,0.0,0.6715,0.9279
K00317,C0109,0.75,0.418,0.0,0.7594,0.8825
K00646,C0013,1.0,0.7336,0.0,0.7695,0.9587
K00646,C0081,1.0,0.6106,0.0,0.6804,0.9106
K00646,C0002,1.0,0.6233,0.0,0.5814,0.936
K00041,C0018,1.0,0.3264,0.0,0.5033,0.9598
K00041,C0082,1.0,0.5063,0.0,0.6666,0.917
K00041,C0040,1.0,0.6094,0.0,0.6694,0.8659
K00532,C0027,1.0,0.3254,1.0,0.6961,0.9357
K00532,C0009,1.0,0.6638,0.0,0.787,0.8386
K00532,C0090,1.0,0.556,0.0,0.9205,0.906
K00632,C0039,1.0,0.2504,0.0,0.7392,0.7657
K00632,C0094,1.0,0.3683,0.0,0.7606,0.7224
K00632,C0004,0.75,0.4518,0.0,0.8793,0.9741
K00173,C0031,0.75,0.2498,0.0,0.7124,0.8242
K00173,C0114,0.75,0.1733,0.0,0.7203,0.8222
K00173,C0084,1.0,0.3213,0.0,0.7217,0.6755
K00047,C0114,1.0,0.2468,0.0,0.732,0.9254
K00047,C0007,1.0,0.6328,0.0,0.6304,0.759
K00047,C0027,0.75,0.0971,0.0,0.8804,0.9899
K00506,C0017,0.6667,0.3955,0.0,0.8872,0.8894
K00506,C0119,0.6667,0.4453,0.0,0.608,0.8405
K00506,C0087,0.6667,0.5538,0.0,0.7346,0.9464
K00456,C0095,1.0,0.7331,0.0,0.8382,0.9398
K00456,C0032,1.0,0.6018,0.0,0.7317,0.9437
K00456,C0076,1.0,0.8752,0.0,0.904,0.9498
K00592,C0031,1.0,0.3135,0.0,0.8526,0.976
K00592,C0078,1.0,0.6291,0.0,0.7552,0.9857
K00592,C0045,1.0,0.7126,0.0,0.827,0.976
K00183,C0108,0.6667,0.3852,0.0,0.6907,0.8798
K00183,C0019,0.8333,0.2771,0.0,0.5659,0.9505
K00183,C0110,0.6667,0.6702,0.0,0.5686,0.8315
K00190,C0022,1.0,0.6116,0.0,0.8462,0.7562
K00190,C0072,1.0,0.5483,0.0,0.684,0.7438
K00190,C0060,0.5,0.2595,0.0,0.6183,0.9086
K00176,C0013,0.8333,0.3138,0.0,0.8533,0.9776
K00176,C0065,0.6667,0.1409,0.0,0.7964,0.9656
K00176,C0048,0.6667,0.2234,0.0,0.7768,0.9172
K00463,C0013,1.0,0.7336,0.0,0.7727,0.874
K00463,C0031,1.0,0.1852,0.0,0.7291,0.8005
K00463,C0081,1.0,0.6106,0.0,0.7211,0.8336
K00546,C0004,0.75,0.4518,0.0,0.9679,0.9891
K00546,C0028,0.25,0.3571,1.0,0.9407,0.9726
K00546,C0037,0.25,0.2943,0.0,0.6539,0.9559
K00598,C0054,1.0,0.5377,0.0,0.6905,0.97
K00598,C0006,1.0,0.6445,1.0,0.6652,0.9318
K00598,C0097,1.0,0.6437,0.0,0.7387,0.9093
K00511,C0091,1.0,0.7874,0.0,0.5181,0.9911
K00511,C0048,1.0,0.5787,1.0,0.9251,0.9822
K00511,C0065,1.0,0.3575,1.0,0.78,0.9635
