trajectory_id,client_id,coach_id,true_fit,alliance,motivation,need_competency_alignment,true_competence_primary,personality_sim,satisfaction_true_1_10,goal_true_1_10,dropout
T00045,K00358,C0072,0.6307,0.5682,0.6858,1.0,0.4356,0.8875,4,8,False
T00046,K00312,C0092,0.3993,0.2061,0.842,0.75,0.48,0.925,3,7,False
T00047,K00007,C0094,0.6926,0.5101,0.4055,1.0,0.3064,0.8577,5,6,True
T00048,K00235,C0076,0.3836,0.3635,0.6089,0.75,0.9584,0.9121,5,6,False
T00049,K00449,C0052,0.4569,0.3048,0.269,1.0,0.2114,0.9392,5,7,True
T00050,K00630,C0022,0.7982,0.8161,0.8359,1.0,0.5559,0.6257,6,9,False
T00051,K00455,C0019,0.441,0.3545,0.4747,1.0,0.2609,0.9553,4,8,False
T00052,K00256,C0035,0.5919,0.2633,0.4596,0.6667,0.7568,0.8462,4,6,True
T00053,K00528,C0024,0.5791,0.5733,0.0823,1.0,0.7644,0.9647,5,6,False
T00054,K00424,C0055,0.4589,0.5589,0.7536,0.75,0.5709,0.9259,5,7,False
T00055,K00302,C0088,0.3695,0.3276,0.6017,0.75,0.5845,0.6397,4,6,False
T00056,K00606,C0007,0.5577,0.6515,0.6592,1.0,0.5627,0.8791,6,9,False
T00057,K00474,C0116,0.7149,0.6126,0.5589,1.0,0.4339,0.9463,6,8,False
T00058,K00178,C0076,0.5519,0.3376,0.5061,1.0,0.8752,0.7911,4,8,True
T00059,K00202,C0107,0.6136,0.1759,0.3849,0.8333,0.4681,0.9463,4,7,False
T00060,K00231,C0025,0.5756,0.5966,0.5256,1.0,0.5468,0.9288,6,8,False
T00061,K00030,C0076,1.0,0.6734,0.3572,1.0,0.8752,0.9285,6,9,False
T00062,K00154,C0114,0.2542,0.2003,0.2237,0.8333,0.1733,0.9654,1,4,False
T00063,K00390,C0085,0.6636,0.5599,0.7989,0.6667,0.3839,0.938,6,6,False
T00064,K00165,C0097,0.8644,0.6184,0.6396,0.8333,0.6437,0.8777,7,8,False
T00065,K00011,C0090,0.9916,0.6828,0.4834,1.0,0.1063,0.9371,8,8,False
T00066,K00123,C0076,0.1966,0.3253,0.7674,0.875,0.9584,0.9621,3,8,False
T00067,K00362,C0015,0.7203,0.5692,0.9072,0.8333,0.581,0.9085,7,7,False
T00068,K00100,C0094,0.7972,0.7895,0.7566,1.0,0.3064,0.9833,8,9,False
T00069,K00015,C0101,0.969,0.5821,0.372,1.0,0.5686,0.6374,6,8,False
T00070,K00382,C0080,0.7292,0.6327,0.742,1.0,0.2679,0.9869,6,8,False
T00071,K00250,C0025,0.3263,0.322,0.6111,0.75,0.5468,0.966,4,6,False
T00072,K00236,C0106,0.1601,0.1677,0.6325,0.0,0.3847,0.948,3,3,False
T00073,K00240,C0073,0.4641,0.2647,0.5847,1.0,0.4377,0.9429,3,8,False
T00074,K00607,C0117,0.6006,0.4817,0.5493,1.0,0.127,0.8915,6,9,False
T00075,K00332,C0036,0.7201,0.7169,0.9549,0.5,0.5764,0.8653,7,6,False
T00076,K00522,C0034,0.8536,0.5374,0.5753,1.0,0.8531,0.9513,7,8,True
T00077,K00056,C0087,0.732,0.6606,0.5294,1.0,0.6218,0.9052,6,8,True
T00078,K00206,C0025,0.5794,0.4466,0.6049,1.0,0.5468,0.9052,4,9,False
T00079,K00646,C0002,0.4602,0.3794,0.6695,1.0,0.6233,0.936,5,9,False
T00080,K00041,C0082,0.6284,0.3889,0.3689,1.0,0.5063,0.917,4,8,False
T00081,K00632,C0039,0.7643,0.8059,0.8365,1.0,0.2504,0.7657,7,8,True
T00082,K00173,C0084,0.8788,0.5543,0.6921,1.0,0.3213,0.6755,6,8,False
T00083,K00047,C0114,0.4196,0.4839,0.779,1.0,0.2468,0.9254,5,9,False
T00084,K00506,C0017,0.4798,0.4076,0.6568,0.6667,0.3955,0.8894,4,7,True
T00085,K00456,C0095,0.5909,0.6013,0.7054,1.0,0.7331,0.9398,6,9,False
T00086,K00183,C0108,0.8925,0.6478,0.7545,0.6667,0.3852,0.8798,7,7,False
T00087,K00176,C0013,0.5024,0.5195,0.9331,0.8333,0.3138,0.9776,6,8,False
T00088,K00463,C0081,0.726,0.6318,0.8186,1.0,0.6106,0.8336,8,8,False
T00089,K00598,C0097,0.6097,0.5129,0.7045,1.0,0.6437,0.9093,5,9,False
T00090,K00511,C0065,0.553,0.3743,0.1994,1.0,0.3575,0.9635,4,9,True
T00091,K00187,C0031,0.4715,0.5801,0.9243,0.6667,0.1852,0.8727,6,9,False
T00092,K00042,C0006,0.8717,0.654,0.8925,1.0,0.6843,0.9396,7,9,False
T00093,K00569,C0019,0.8982,0.6371,0.8197,1.0,0.6336,0.9047,9,9,False
T00094,K00348,C0114,0.8037,0.609,0.6073,1.0,0.3236,0.9753,5,8,False
T00095,K00134,C0103,0.8332,0.5684,0.3113,1.0,0.8055,0.9109,6,5,False
T00096,K00070,C0027,0.4726,0.306,0.5313,0.8333,0.3074,0.947,4,7,False
T00097,K00529,C0063,0.4142,0.3764,0.7123,1.0,0.5504,0.8169,5,8,False
T00098,K00135,C0034,0.6984,0.6269,0.5656,1.0,0.8531,0.9114,6,9,False
T00099,K00385,C0094,0.2737,0.0989,0.473,0.75,0.3064,0.8487,1,7,True
T00100,K00253,C0094,0.5723,0.3903,0.3667,1.0,0.3683,0.7968,5,8,True
T00101,K00399,C0011,0.4781,0.5154,0.9663,0.75,0.5341,0.9638,5,7,False
T00102,K00595,C0094,0.7325,0.4383,0.6629,1.0,0.2578,0.9246,6,8,False
T00103,K00459,C0067,0.1266,0.0506,0.2321,0.0,0.5637,0.965,1,3,False
T00104,K00298,C0114,0.6307,0.5369,0.7649,1.0,0.2468,0.8909,6,8,False
T00105,K00538,C0039,0.5389,0.6234,0.8465,1.0,0.2408,0.843,6,9,False
T00106,K00433,C0084,0.3826,0.3995,0.4916,1.0,0.4192,0.8096,5,8,False
T00107,K00344,C0088,0.3477,0.5369,0.8063,0.8333,0.5919,0.953,4,7,False
T00108,K00447,C0020,0.5801,0.3954,0.6519,0.5,0.2874,0.9527,5,4,False
T00109,K00104,C0042,0.5927,0.4365,0.3426,1.0,0.1769,0.9404,4,8,False
T00110,K00204,C0104,0.847,0.4445,0.4364,0.8333,0.5871,0.9658,5,7,True
T00111,K00203,C0019,0.7344,0.5822,0.7212,1.0,0.5798,0.9662,6,10,False
T00112,K00549,C0072,0.521,0.5431,0.9233,1.0,0.5483,0.9232,6,9,False
T00113,K00241,C0116,0.6449,0.7533,0.8343,1.0,0.3323,0.897,7,9,True
T00114,K00163,C0051,0.9206,0.6226,0.7087,1.0,0.6798,0.7487,7,10,False
T00115,K00594,C0103,0.8308,0.5711,0.2142,1.0,0.7432,0.9318,5,8,True
T00116,K00106,C0056,0.7994,0.751,0.8762,1.0,0.567,0.9226,8,9,False
T00117,K00136,C0114,0.4409,0.2035,0.5492,0.75,0.2468,0.8836,3,5,False
T00118,K00156,C0106,0.5302,0.6107,0.6025,1.0,0.813,0.9417,5,7,False
T00119,K00410,C0119,0.5957,0.5988,0.7331,1.0,0.4171,0.907,6,9,True
T00120,K00567,C0120,0.1443,0.3353,0.4085,0.5,0.2787,0.959,3,4,False
T00121,K00599,C0037,0.4673,0.5544,0.9149,0.75,0.6155,0.9524,5,8,False
T00122,K00489,C0119,0.747,0.6825,0.7563,1.0,0.4171,0.8119,7,8,False
T00123,K00130,C0100,0.1046,0.2339,0.7703,0.25,0.3374,0.951,3,5,True
T00124,K00475,C0071,0.5665,0.444,0.3357,1.0,0.2298,0.9,5,6,False
T00125,K00209,C0058,0.7211,0.535,0.6332,1.0,0.8854,0.8921,5,8,True
T00126,K00080,C0116,0.5454,0.4834,0.395,1.0,0.3323,0.9973,4,8,False
T00127,K00118,C0052,0.6229,0.6147,0.6071,0.875,0.5104,0.92,6,7,False
T00128,K00572,C0114,0.6661,0.6222,0.5853,1.0,0.2468,0.9549,6,9,False
T00129,K00125,C0082,0.7467,0.6398,0.3413,0.8333,0.5063,0.8949,6,7,False
T00130,K00338,C0117,0.4517,0.4238,0.6201,1.0,0.4618,0.9874,5,8,False
T00131,K00139,C0075,0.7447,0.6017,0.7358,0.6667,0.8681,0.9396,7,6,False
T00132,K00573,C0065,0.6395,0.7176,0.7229,1.0,0.3575,0.9535,6,10,False
T00133,K00043,C0058,0.728,0.3655,0.3426,1.0,0.8374,0.9069,5,8,True
T00134,K00294,C0058,0.6536,0.2997,0.6845,0.875,0.8854,0.8309,5,7,False
T00135,K00469,C0093,0.4735,0.5392,0.6513,0.8333,0.6502,0.9189,7,6,False
T00136,K00057,C0007,0.4933,0.5171,0.7664,1.0,0.6328,0.8775,6,10,True
T00137,K00381,C0076,0.6447,0.487,0.5249,0.875,0.8752,0.9313,5,8,False
T00138,K00451,C0084,0.51,0.4513,0.8593,1.0,0.4192,0.9305,7,9,True
T00139,K00036,C0101,0.803,0.706,0.8155,1.0,0.5686,0.6789,7,9,False
T00140,K00071,C0066,0.4944,0.6908,0.7838,0.5,0.2049,0.9293,5,5,False
T00141,K00386,C0085,0.7598,0.5961,0.8278,1.0,0.7735,0.9703,6,9,False
T00142,K00346,C0077,0.5655,0.2191,0.3946,1.0,0.5528,0.7911,4,8,False
T00143,K00527,C0030,0.6744,0.6483,0.739,0.75,0.189,0.895,6,7,False
T00144,K00272,C0094,0.6541,0.2411,0.1748,1.0,0.3683,0.7926,2,7,False
T00145,K00621,C0017,0.7927,0.3972,0.316,0.8333,0.4955,0.8656,6,6,True
T00146,K00132,C0114,0.5157,0.482,0.7407,1.0,0.3236,0.9427,5,8,False
T00147,K00222,C0054,0.7702,0.5459,0.5405,1.0,0.5085,0.9452,6,8,False
T00148,K00117,C0008,0.7329,0.5466,0.3985,1.0,0.5669,0.9048,5,8,True
T00149,K00283,C0084,0.6014,0.5395,0.1364,1.0,0.3213,0.9719,4,6,False
T00150,K00411,C0031,0.5097,0.5351,0.8252,1.0,0.3135,0.8674,7,9,False
T00151,K00359,C0063,0.5887,0.5754,0.7004,0.6667,0.5504,0.9299,6,5,False
T00152,K00273,C0052,0.7101,0.3957,0.2678,0.8333,0.4897,0.9566,5,7,False
T00153,K00069,C0019,0.2494,0.276,0.7565,1.0,0.5798,0.8766,4,8,False
T00154,K00466,C0101,0.5757,0.3445,0.6224,0.75,0.719,0.9222,5,6,False
T00155,K00365,C0018,0.6597,0.7332,0.8498,0.75,0.3264,0.9163,7,8,False
T00156,K00021,C0089,0.9108,0.7722,0.6955,0.5,0.9804,0.9544,7,6,False
T00157,K00265,C0112,0.3007,0.4409,0.4736,0.5,0.1421,0.8589,3,6,True
T00158,K00207,C0024,0.5893,0.6428,0.8955,0.5,0.7644,0.8783,8,5,False
T00159,K00402,C0084,0.7178,0.5625,0.7513,1.0,0.4192,0.9549,5,8,False
T00160,K00019,C0072,0.5208,0.6241,0.7716,0.5,0.5483,0.9357,5,7,False
T00161,K00193,C0045,0.7197,0.4628,0.5689,1.0,0.7126,0.97,5,9,False
T00162,K00494,C0094,0.4296,0.4339,0.4291,1.0,0.2578,0.7624,4,8,False
T00163,K00568,C0108,0.6395,0.6453,0.7114,1.0,0.3466,0.9888,6,7,False
T00164,K00336,C0096,0.6183,0.6701,0.9366,1.0,0.3502,0.9342,6,10,True
T00165,K00495,C0007,0.6081,0.4363,0.5769,1.0,0.5627,0.735,5,8,False
T00166,K00167,C0092,0.5827,0.3819,0.537,1.0,0.2595,0.9304,4,6,False
T00167,K00418,C0103,0.6748,0.659,0.904,1.0,0.7432,0.7765,6,8,False
T00168,K00155,C0106,0.5127,0.2688,0.4186,0.25,0.3847,0.9853,2,4,False
T00169,K00640,C0072,0.7851,0.6647,0.5764,1.0,0.4228,0.8931,6,7,False
T00170,K00580,C0005,0.6063,0.4697,0.658,0.8333,0.5118,0.9185,6,8,False
T00171,K00396,C0039,0.685,0.6569,0.8974,1.0,0.2504,0.8223,7,9,True
T00172,K00484,C0114,0.5129,0.6873,0.8567,1.0,0.3236,0.9494,6,9,False
T00173,K00175,C0060,0.6412,0.5805,0.7582,1.0,0.5958,0.8649,6,9,False
T00174,K00287,C0073,0.9184,0.8303,0.9873,1.0,0.4377,0.8816,9,9,False
T00175,K00431,C0021,0.4829,0.367,0.3203,0.25,0.4724,0.9055,3,4,True
T00176,K00637,C0017,0.7521,0.756,0.4263,0.75,0.3955,0.9585,6,6,True
T00177,K00313,C0025,0.6805,0.5143,0.6379,1.0,0.2206,0.9785,6,9,False
T00178,K00355,C0055,0.5811,0.5084,0.7069,1.0,0.5709,0.9285,5,8,False
T00179,K00505,C0072,0.4666,0.3193,0.4994,1.0,0.4356,0.9018,4,7,False
T00180,K00023,C0106,0.8823,0.9134,0.9724,1.0,0.813,0.9916,8,9,False
T00181,K00587,C0025,0.2347,0.3133,0.591,0.6667,0.3868,0.8911,4,7,True
T00182,K00464,C0067,0.3844,0.4442,0.5647,0.625,0.5637,0.9683,4,5,False
T00183,K00651,C0030,0.2216,0.2655,0.8367,0.3333,0.189,0.9319,4,5,False
T00184,K00577,C0059,0.5494,0.3805,0.6214,1.0,0.6274,0.9109,6,8,True
T00185,K00278,C0076,0.4929,0.4815,0.5307,1.0,0.8752,0.9903,5,8,True
T00186,K00430,C0088,0.5191,0.2966,0.4803,0.25,0.3774,0.924,5,3,False
T00187,K00510,C0081,0.596,0.4295,0.4949,1.0,0.6119,0.9342,4,6,False
T00188,K00198,C0020,0.3054,0.4274,0.7787,1.0,0.2874,0.9401,4,9,False
T00189,K00593,C0015,0.7541,0.4922,0.2855,0.625,0.581,0.965,4,6,True
T00190,K00314,C0068,0.834,0.7671,0.6419,1.0,0.6102,0.8827,6,9,False
T00191,K00074,C0060,0.6394,0.7207,0.6979,0.75,0.5958,0.7182,6,6,False
T00192,K00088,C0068,0.7063,0.5172,0.7792,1.0,0.6102,0.7346,5,9,False
T00193,K00413,C0108,0.9053,0.6131,0.5651,1.0,0.3466,0.8765,8,7,False
T00194,K00472,C0025,0.4183,0.4108,0.4582,0.8333,0.5468,0.8844,5,7,False
T00195,K00647,C0063,0.4164,0.426,0.5635,0.8333,0.5504,0.9062,4,6,False
T00196,K00635,C0034,0.7995,0.746,0.9651,1.0,0.3451,0.9423,7,10,False
T00197,K00232,C0054,0.6533,0.4495,0.4678,0.75,0.5377,0.9688,5,7,False
T00198,K00541,C0082,0.323,0.3086,0.5188,0.8333,0.5063,0.9502,5,6,False
T00199,K00479,C0035,0.05,0.3045,0.5499,0.0,0.7568,0.8615,2,3,False
T00200,K00225,C0097,0.5581,0.4187,0.5912,0.5,0.2698,0.9498,5,6,False
T00201,K00342,C0031,0.5151,0.312,0.5164,0.8333,0.2498,0.9578,3,7,True
T00202,K00437,C0095,0.5578,0.3911,0.6115,1.0,0.3696,0.9751,6,9,False
T00203,K00618,C0004,0.9067,0.6279,0.5469,1.0,0.4518,0.8811,7,8,False
T00204,K00113,C0114,0.5769,0.366,0.7325,0.75,0.2468,0.8671,5,7,False
T00205,K00096,C0102,0.4136,0.4711,0.9121,0.3333,0.7671,0.9341,6,6,False
T00206,K00034,C0094,0.4881,0.398,0.7437,0.8333,0.3683,0.8871,4,6,True
T00207,K00150,C0073,0.5688,0.5251,0.7214,0.8333,0.4327,0.8815,6,8,True
T00208,K00477,C0092,0.7561,0.6633,0.7676,0.75,0.2595,0.8334,7,7,False
T00209,K00257,C0107,0.7186,0.5616,0.5823,1.0,0.4681,0.75,7,9,False
T00210,K00091,C0090,0.962,0.4345,0.5038,1.0,0.556,0.9618,6,8,False
T00211,K00406,C0100,0.7034,0.4915,0.6537,0.75,0.3374,0.9046,5,7,False
T00212,K00248,C0006,0.9256,0.7884,0.6829,1.0,0.6445,0.9612,7,10,False
T00213,K00548,C0006,0.764,0.6249,0.5916,0.5,0.3534,0.9871,6,5,False
T00214,K00218,C0067,0.7262,0.479,0.5092,1.0,0.5637,0.9393,6,8,True
T00215,K00296,C0116,0.5581,0.5461,0.2077,1.0,0.4451,0.94,5,5,False
T00216,K00633,C0002,0.7669,0.6265,0.2755,1.0,0.622,0.9151,5,7,False
T00217,K00082,C0013,0.8528,0.8425,0.857,1.0,0.8026,0.9468,8,9,False
T00218,K00376,C0105,0.8299,0.5186,0.64,1.0,0.9176,0.8543,7,9,False
T00219,K00063,C0071,0.0,0.0,0.8787,0.0,0.2298,0.9232,2,4,True
T00220,K00631,C0060,0.7818,0.7971,0.7154,0.875,0.5958,0.9025,7,7,False
T00221,K00044,C0039,0.8286,0.8066,0.9693,1.0,0.2504,0.7758,7,10,False
T00222,K00300,C0031,0.503,0.4966,0.6167,0.6667,0.3135,0.9054,5,6,False
T00223,K00281,C0073,0.3917,0.5636,0.9145,1.0,0.4327,0.8681,6,9,False
T00224,K00075,C0094,0.4321,0.3247,0.6823,0.5,0.2578,0.7653,4,6,False
T00225,K00379,C0040,0.6428,0.2892,0.3037,0.8333,0.6094,0.8613,3,7,False
T00226,K00426,C0119,0.6097,0.4936,0.4415,1.0,0.4456,0.9877,5,8,True
T00227,K00380,C0120,1.0,0.5543,0.3916,1.0,0.2787,0.9164,6,6,False
T00228,K00542,C0103,0.6897,0.4528,0.9147,0.5,0.2533,0.9136,6,7,False
T00229,K00293,C0084,0.4912,0.5157,0.6397,0.8333,0.3056,0.7389,6,6,True
T00230,K00002,C0024,0.418,0.5261,0.8768,0.75,0.7065,0.8911,6,7,False
T00231,K00138,C0111,0.5306,0.4936,0.7212,0.75,0.6158,0.9557,4,7,True
T00232,K00221,C0113,0.419,0.337,0.4471,0.6667,0.646,0.9141,3,5,False
T00233,K00062,C0045,1.0,0.7144,0.7841,1.0,0.7126,0.9501,8,8,False
T00234,K00072,C0088,0.5052,0.4234,0.8969,0.6667,0.5845,0.9792,5,6,False
T00235,K00061,C0114,0.6613,0.6341,0.6103,1.0,0.2468,0.878,6,8,False
T00236,K00644,C0024,0.9024,0.4967,0.2806,1.0,0.7644,0.9808,5,8,True
T00237,K00608,C0063,0.6881,0.403,0.2018,0.875,0.5504,0.8667,6,7,False
T00238,K00375,C0110,0.6314,0.5542,0.7171,0.3333,0.7183,0.944,7,4,False
T00239,K00322,C0117,0.6992,0.6854,0.6728,1.0,0.4618,0.9671,7,8,True
T00240,K00182,C0082,0.8923,0.396,0.3916,1.0,0.5546,0.9703,5,7,False
T00241,K00064,C0084,0.611,0.566,0.8452,0.875,0.3213,0.8797,6,7,False
T00242,K00361,C0114,0.6578,0.359,0.3822,1.0,0.2468,0.964,4,8,False
T00243,K00161,C0101,0.4619,0.554,0.9544,0.8333,0.6266,0.9708,6,8,False
T00244,K00571,C0053,0.4092,0.6247,0.6698,0.25,0.2663,0.9602,6,3,False
T00245,K00559,C0096,0.5982,0.6124,0.8962,1.0,0.3502,0.9562,6,9,False
T00246,K00205,C0051,0.7261,0.426,0.447,1.0,0.6798,0.9557,5,7,True
T00247,K00017,C0025,0.6569,0.4514,0.6419,1.0,0.5468,0.8451,6,8,False
T00248,K00310,C0107,0.7006,0.3996,0.5489,1.0,0.513,0.9696,5,7,False
T00249,K00318,C0095,0.8435,0.633,0.4908,0.8333,0.7331,0.9586,6,7,False
T00250,K00586,C0058,0.4277,0.4695,0.4698,0.5,0.8374,0.9691,4,6,False
T00251,K00083,C0070,0.3427,0.3394,0.8515,0.6667,0.1282,0.9518,4,7,False
T00252,K00584,C0002,0.8151,0.6788,0.4373,0.5,0.6233,0.9692,6,5,False
T00253,K00214,C0054,0.43,0.4418,0.4046,0.875,0.5377,0.9146,4,7,False
T00254,K00556,C0071,0.3978,0.216,0.415,0.6667,0.4341,0.9624,4,7,False
T00255,K00109,C0084,0.314,0.3041,0.7333,0.75,0.4192,0.8302,4,6,False
T00256,K00285,C0006,0.6877,0.6602,0.8496,1.0,0.6363,0.9442,6,9,False
T00257,K00195,C0067,0.2879,0.3535,0.7903,0.3333,0.1265,0.8996,4,5,False
T00258,K00242,C0071,0.4802,0.3816,0.7734,0.75,0.2298,0.9581,3,6,False
T00259,K00423,C0094,0.6053,0.4585,0.5616,1.0,0.3683,0.6261,5,8,False
T00260,K00009,C0116,0.6501,0.5975,0.786,1.0,0.4451,0.8979,6,8,False
T00261,K00013,C0058,1.0,0.649,0.5681,1.0,0.8854,0.7728,7,8,False
T00262,K00653,C0099,0.4161,0.2793,0.4824,0.5,0.171,0.9539,4,5,False
T00263,K00372,C0091,0.6384,0.7113,0.8934,1.0,0.7874,0.9939,6,9,False
T00264,K00188,C0058,0.969,0.7101,0.316,1.0,0.8374,0.8401,6,8,False
T00265,K00076,C0094,0.6913,0.5461,0.6465,1.0,0.3683,0.7545,5,8,False
T00266,K00014,C0019,0.6571,0.5054,0.7657,1.0,0.6336,0.934,5,9,False
T00267,K00054,C0114,0.6431,0.6302,0.7827,0.8333,0.1733,0.9191,6,9,True
T00268,K00280,C0038,0.676,0.3416,0.5549,1.0,0.1521,0.9417,5,8,False
T00269,K00583,C0105,0.7202,0.4592,0.9533,1.0,0.9176,0.9535,6,9,False
T00270,K00073,C0075,0.4597,0.5384,0.5327,0.6667,0.8681,0.9616,5,5,False
T00271,K00090,C0055,0.9597,0.6635,0.4671,1.0,0.5709,0.9256,6,8,False
T00272,K00102,C0077,0.5768,0.4477,0.5686,1.0,0.5528,0.654,5,8,False
T00273,K00271,C0030,1.0,0.6517,0.7679,1.0,0.6724,0.9362,7,8,False
T00274,K00347,C0076,0.549,0.5244,0.6678,1.0,0.8752,0.8505,7,9,False
T00275,K00432,C0081,0.5218,0.4162,0.5612,1.0,0.6119,0.9155,5,9,False
T00276,K00604,C0067,0.695,0.5847,0.5965,1.0,0.5524,0.8967,6,9,False
T00277,K00066,C0072,0.5542,0.3565,0.579,1.0,0.4356,0.9532,6,7,True
T00278,K00107,C0034,0.4515,0.3708,0.8171,1.0,0.8531,0.9343,5,8,False
T00279,K00387,C0042,0.3968,0.3303,0.7108,0.6667,0.081,0.935,4,7,False
T00280,K00364,C0073,0.6742,0.7259,0.5624,1.0,0.4327,0.9444,6,8,False
T00281,K00491,C0006,0.8278,0.6367,0.7222,1.0,0.6445,0.7351,7,8,False
T00282,K00201,C0116,0.8076,0.6283,0.4947,1.0,0.4339,0.7684,7,7,False
T00283,K00536,C0025,0.4763,0.2877,0.5909,0.75,0.6046,0.9308,5,7,False
T00284,K00040,C0035,1.0,0.9534,0.6136,1.0,0.7568,0.853,8,8,False
T00285,K00398,C0088,0.845,0.751,0.9306,0.875,0.5919,0.8846,8,7,False
T00286,K00408,C0070,0.4487,0.5108,0.6513,0.6667,0.4244,0.9457,5,6,False
T00287,K00539,C0012,0.8681,0.4631,0.2728,1.0,0.6014,0.892,6,7,True
T00288,K00279,C0066,0.751,0.5873,0.5492,0.875,0.5472,0.9286,6,8,False
T00289,K00588,C0101,0.5197,0.7119,0.7321,0.75,0.6266,0.8982,6,7,True
T00290,K00341,C0036,1.0,0.6182,0.5606,0.8333,0.5764,0.9317,7,8,False
T00291,K00079,C0025,0.7008,0.6547,0.7451,0.8333,0.6046,0.9179,6,7,False
T00292,K00420,C0017,0.4718,0.5573,0.8153,0.5,0.1379,0.8751,5,7,True
T00293,K00140,C0114,0.6853,0.5822,0.6257,1.0,0.2468,0.9635,7,10,False
T00294,K00227,C0097,0.9855,0.7073,0.6236,1.0,0.6437,0.9144,7,8,False
T00295,K00439,C0114,0.5264,0.2452,0.5607,1.0,0.2468,0.9748,4,8,False
T00296,K00133,C0095,0.5463,0.5591,0.8777,0.75,0.7331,0.9749,4,8,False
